species,cor,pval,padj,correlation_tested
Faecalibacterium prausnitzii_G,-0.0194423691741083,0.913093639979368,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium prausnitzii_K,-0.135762533473669,0.603382597447503,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium sp002160895,0.183748076225594,0.269464530819527,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium sp003449675,0.0681546683717285,0.627742610595721,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena faecis,-0.0792443847257291,0.576552390039092,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena gnavus,0.109285100463395,0.656058882768615,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena sp002320245,0.289114391165515,0.362071341613123,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena sp900066545,0.1288338005085,0.689860711270121,1,corr_t4speciesAbundance_with_t10Host_weight
Firm-10 sp001603025,0.157461848420604,0.246453184825001,1,corr_t4speciesAbundance_with_t10Host_weight
Flavonifractor sp002159175,0.39701805729285,0.114582400322156,1,corr_t4speciesAbundance_with_t10Host_weight
Fusicatenibacter saccharivorans,0.133679355825063,0.330554481512027,1,corr_t4speciesAbundance_with_t10Host_weight
GCA-900066135 sp900066135,-0.106012106431334,0.432537250431587,1,corr_t4speciesAbundance_with_t10Host_weight
Gemmiger formicilis,0.289421659317303,0.028988370939076,1,corr_t4speciesAbundance_with_t10Host_weight
Gemmiger sp003476825,-0.115598419816903,0.391837763818949,1,corr_t4speciesAbundance_with_t10Host_weight
Gemmiger variabile,-0.0541971115706297,0.711488277760554,1,corr_t4speciesAbundance_with_t10Host_weight
Gordonibacter massiliensis,-0.0844778225338627,0.74718229293484,1,corr_t4speciesAbundance_with_t10Host_weight
Holdemanella biformis,-0.0324659493826,0.810527689315764,1,corr_t4speciesAbundance_with_t10Host_weight
Holdemanella sp002299315,-0.0889444521209214,0.51057370441489,1,corr_t4speciesAbundance_with_t10Host_weight
Hungatella effluvii,0.107375397356427,0.714840227853272,1,corr_t4speciesAbundance_with_t10Host_weight
Intestinibacter bartlettii,0.026128675999088,0.899178256216366,1,corr_t4speciesAbundance_with_t10Host_weight
Intestinimonas butyriciproducens,-0.098077089517689,0.552513111412737,1,corr_t4speciesAbundance_with_t10Host_weight
Intestinimonas massiliensis,0.0102192040378493,0.961332755920372,1,corr_t4speciesAbundance_with_t10Host_weight
KLE1615 sp900066985,-0.116403154969998,0.406511828444774,1,corr_t4speciesAbundance_with_t10Host_weight
Lachnospira sp900316325,0.299743341741116,0.0480702976222287,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus amylovorus,0.142675086855099,0.289719596304645,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus crispatus,-0.153200540172246,0.326688325213482,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus delbrueckii,-0.271637466925102,0.189010142458382,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus delbrueckii_A,0.23414417235658,0.101711411523152,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus johnsonii,0.0957134547667434,0.478796306912408,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_B salivarius,0.0469983423524316,0.779328659870847,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H mucosae,0.0986298059710829,0.469558779121381,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H reuteri,-0.100893282771375,0.455208207435167,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H sp002299975,0.0310029417526575,0.855461481571095,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H vaginalis,0.0109288307536226,0.945235230320158,1,corr_t4speciesAbundance_with_t10Host_weight
Lawsonibacter sp000177015,0.37301576606618,0.021079306055198,1,corr_t4speciesAbundance_with_t10Host_weight
Lawsonibacter sp002161175,-0.200365205556725,0.511603860023508,1,corr_t4speciesAbundance_with_t10Host_weight
Libanicoccus massiliensis,-0.273700726698837,0.22992781742408,1,corr_t4speciesAbundance_with_t10Host_weight
Marvinbryantia sp900066075,-0.263579003172922,0.0475827703459443,1,corr_t4speciesAbundance_with_t10Host_weight
Megasphaera elsdenii,0.233746682559087,0.0801211188684806,1,corr_t4speciesAbundance_with_t10Host_weight
Methanobrevibacter_A gottschalkii,-0.194865023115853,0.194373843346399,1,corr_t4speciesAbundance_with_t10Host_weight
Methanobrevibacter_A smithii,-0.137622191557955,0.307314503480875,1,corr_t4speciesAbundance_with_t10Host_weight
Methanomethylophilus alvus,0.365455834368712,0.135872804253848,1,corr_t4speciesAbundance_with_t10Host_weight
Mitsuokella jalaludinii,-0.037020846841126,0.794431183415877,1,corr_t4speciesAbundance_with_t10Host_weight
Mitsuokella multacida,0.181017142475772,0.290725425480914,1,corr_t4speciesAbundance_with_t10Host_weight
Mogibacterium sp002299625,-0.00957914933235718,0.943620336316489,1,corr_t4speciesAbundance_with_t10Host_weight
Mogibacterium sp900315485,0.0259801118687991,0.918496562007176,1,corr_t4speciesAbundance_with_t10Host_weight
Mogibacterium sp900315625,-0.259514398789817,0.210300972062478,1,corr_t4speciesAbundance_with_t10Host_weight
OEMS01 sp900199405,-0.0650752851666976,0.636907464230562,1,corr_t4speciesAbundance_with_t10Host_weight
Olsenella_B sp900111695,0.0813835657033511,0.718818015631849,1,corr_t4speciesAbundance_with_t10Host_weight
Olsenella_C umbonata,-0.147577355042948,0.363479992211768,1,corr_t4speciesAbundance_with_t10Host_weight
Olsenella_E sp002440065,0.0980305885057953,0.484964242629603,1,corr_t4speciesAbundance_with_t10Host_weight
Olsenella_E sp003150175,-0.0309477710874265,0.829312236130211,1,corr_t4speciesAbundance_with_t10Host_weight
Oribacterium sp002431355,0.0310306797725063,0.825424914363998,1,corr_t4speciesAbundance_with_t10Host_weight
Oscillibacter sp001916835,0.350229873624053,0.0213129551226757,1,corr_t4speciesAbundance_with_t10Host_weight
Oscillibacter sp900066435,-0.114035130646394,0.402677719995806,1,corr_t4speciesAbundance_with_t10Host_weight
Oscillibacter sp900115635,0.256172886179074,0.421578923269574,1,corr_t4speciesAbundance_with_t10Host_weight
Oxalobacter formigenes_B,0.0566121740382851,0.861274608481971,1,corr_t4speciesAbundance_with_t10Host_weight
Parabacteroides distasonis,0.0381024792681623,0.813032528549108,1,corr_t4speciesAbundance_with_t10Host_weight
Parabacteroides sp000436495,-0.302405560281875,0.366068225197113,1,corr_t4speciesAbundance_with_t10Host_weight
PeH17 sp000435055,-0.058036855634066,0.715052465631398,1,corr_t4speciesAbundance_with_t10Host_weight
PeH17 sp001940845,-0.068239779780568,0.720118122108779,1,corr_t4speciesAbundance_with_t10Host_weight
Phascolarctobacterium_A succinatutens,-0.096824903020067,0.473680926078341,1,corr_t4speciesAbundance_with_t10Host_weight
Phil1 sp001940855,0.0123876444430512,0.927130165521969,1,corr_t4speciesAbundance_with_t10Host_weight
Polynucleobacter rarus,-0.164574779880613,0.402664293493578,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella bryantii,0.569174473274162,0.0170958564893855,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella copri,-0.0397631165473807,0.769009944750481,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella copri_A,0.0747522553239711,0.584004434425204,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp000434515,-0.157003326474317,0.247848989768057,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp000434975,-0.0147190035605554,0.914258720311121,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp000436035,0.192893978488522,0.188995354200659,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp000436915,-0.11948392529024,0.376007893237543,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp000834015,0.0608011568674732,0.653226138040051,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002251245,0.241819780941731,0.109513972738295,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002251295,0.045820209542205,0.735025017437327,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002251365,0.199407433454824,0.14440511405846,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002251385,0.107697802855979,0.442729325194736,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002251435,0.198488090354282,0.138840277449104,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002265625,-0.130267293333586,0.671438134955876,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002299275,0.147310396487871,0.351873136943857,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002299635,0.0139927502250202,0.954660989903509,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002300055,0.0623748549960394,0.663688525749514,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002350805,-0.456375148025953,0.135881278468036,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp002409785,-0.0164032062298833,0.933974249070894,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp900290275,0.0691515705057007,0.636833504331406,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp900313215,-0.0836834699012758,0.559335100017677,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp900315955,0.256100216138585,0.421715248510822,1,corr_t4speciesAbundance_with_t10Host_weight
Prevotella sp900322035,-0.243694233398866,0.329818452374961,1,corr_t4speciesAbundance_with_t10Host_weight
Pseudoscardovia suis,-0.299239165251083,0.298654318182508,1,corr_t4speciesAbundance_with_t10Host_weight
QAMX01 sp003149835,-0.258590633952871,0.316263511100003,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp000431015,-0.0279944582883629,0.845391146393462,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp000432515,0.07900041752822,0.656961112189683,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp000432655,0.0377545614748708,0.780379030537049,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp000433355,-0.116675300564254,0.39180116483047,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp000434935,0.066699087515159,0.622040645663445,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp000435075,0.23500163309832,0.0935419810156764,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp001915575,-0.146743982398814,0.379322337578575,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp002314885,-0.219523174593135,0.243787398324329,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp002438635,0.0290851158987955,0.847838933711153,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp002439805,0.00893029701036091,0.961971784404533,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp002440085,0.287372588243097,0.39152278045161,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp002472565,0.0351502790917859,0.859058878357334,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp900318565,-0.727713420369935,0.0031755635598173,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp900319375,-0.0432677496775825,0.88838438148366,1,corr_t4speciesAbundance_with_t10Host_weight
RC9 sp900320185,0.00673658604017526,0.970320010140757,1,corr_t4speciesAbundance_with_t10Host_weight
Romboutsia timonensis,0.271706985192827,0.418955762970575,1,corr_t4speciesAbundance_with_t10Host_weight
Roseburia inulinivorans,0.1834852505832,0.369594836457225,1,corr_t4speciesAbundance_with_t10Host_weight
RUG001 sp900314575,0.175225893705999,0.306692365448851,1,corr_t4speciesAbundance_with_t10Host_weight
RUG013 sp001486445,-0.0344330028625009,0.859254499706069,1,corr_t4speciesAbundance_with_t10Host_weight
RUG114 sp900315615,-0.20582235030192,0.383987399328025,1,corr_t4speciesAbundance_with_t10Host_weight
RUG131 sp900315885,0.21186915864493,0.50857554951845,1,corr_t4speciesAbundance_with_t10Host_weight
RUG343 sp900317975,0.16085123747192,0.296919912920521,1,corr_t4speciesAbundance_with_t10Host_weight
RUG369 sp900317365,-0.19734656021139,0.222238103228956,1,corr_t4speciesAbundance_with_t10Host_weight
RUG369 sp900318195,-0.217645759203836,0.247944520732383,1,corr_t4speciesAbundance_with_t10Host_weight
RUG563 sp900320085,0.0171430496820839,0.90593907215212,1,corr_t4speciesAbundance_with_t10Host_weight
RUG591 sp900320425,0.0668617509009159,0.773377824058359,1,corr_t4speciesAbundance_with_t10Host_weight
RUG705 sp900321645,-0.360819770075384,0.275645739686779,1,corr_t4speciesAbundance_with_t10Host_weight
RUG806 sp900313475,-0.480620598101239,0.0819253969185143,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminiclostridium_C sp000435295,0.0220643310913934,0.881668291236533,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminiclostridium_E siraeum,-0.185571047970832,0.475796069544077,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_A sp002361775,-0.0265321053274203,0.895487299412841,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_A sp003011855,0.201597871247427,0.136240224999995,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_C sp000433635,-0.044693119718129,0.798775034858713,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_D bicirculans,0.472567884209832,0.0879365029334649,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_E bromii_A,-0.0599297743674092,0.669907265586839,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_E bromii_B,-0.0658448032372956,0.678657849932068,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_E sp003521625,0.00323654299793576,0.982581655038474,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_E sp900314705,0.128109452771421,0.351279039617538,1,corr_t4speciesAbundance_with_t10Host_weight
Ruminococcus_E sp900319655,0.00993047256381586,0.960000875831831,1,corr_t4speciesAbundance_with_t10Host_weight
Ruthenibacterium lactatiformans,0.150189879919776,0.319119244088919,1,corr_t4speciesAbundance_with_t10Host_weight
Senegalimassilia anaerobia,-0.0579906940460132,0.674086268446785,1,corr_t4speciesAbundance_with_t10Host_weight
Senegalimassilia sp002431805,0.113970489927895,0.495670720780735,1,corr_t4speciesAbundance_with_t10Host_weight
Sharpea azabuensis,0.091512464518164,0.549929242956063,1,corr_t4speciesAbundance_with_t10Host_weight
Solobacterium sp900315065,-0.150059503649005,0.29324131628313,1,corr_t4speciesAbundance_with_t10Host_weight
Solobacterium sp900343155,0.267932975226702,0.354374258042969,1,corr_t4speciesAbundance_with_t10Host_weight
Solobacterium timonensis,0.237320232932429,0.359056638371527,1,corr_t4speciesAbundance_with_t10Host_weight
Streptococcus orisratti,-0.0421376760952826,0.845003172284793,1,corr_t4speciesAbundance_with_t10Host_weight
Streptococcus suis_P,-0.24821562104265,0.221459661804043,1,corr_t4speciesAbundance_with_t10Host_weight
Succiniclasticum sp900314855,-0.393792249995205,0.0569175302043608,1,corr_t4speciesAbundance_with_t10Host_weight
Succinivibrio sp000431835,0.0409051650644544,0.894447573245289,1,corr_t4speciesAbundance_with_t10Host_weight
Succinivibrio sp003456415,0.124184638717455,0.686059061078735,1,corr_t4speciesAbundance_with_t10Host_weight
Succinivibrio sp900316375,0.165208095092226,0.335595679804404,1,corr_t4speciesAbundance_with_t10Host_weight
Synergistes jonesii,0.37430118443923,0.18734193316228,1,corr_t4speciesAbundance_with_t10Host_weight
Terrisporobacter othiniensis,0.287885523659154,0.0644921388047114,1,corr_t4speciesAbundance_with_t10Host_weight
Treponema_D berlinense,-0.198369565937927,0.239211062470921,1,corr_t4speciesAbundance_with_t10Host_weight
Treponema_D porcinum,-0.225441716307082,0.115456440785912,1,corr_t4speciesAbundance_with_t10Host_weight
Treponema_D sp002395155,-0.28431483617787,0.370452076723558,1,corr_t4speciesAbundance_with_t10Host_weight
Treponema_D succinifaciens,0.138406424667663,0.442406800022329,1,corr_t4speciesAbundance_with_t10Host_weight
Turicibacter sp001543345,0.170171700240609,0.616902306964686,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1067 sp900320855,-0.444220006385524,0.128325410336153,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1081 sp002431305,0.0422691065122581,0.859555655012004,1,corr_t4speciesAbundance_with_t10Host_weight
UBA11517 sp003522085,-0.00846799743464226,0.959195699128004,1,corr_t4speciesAbundance_with_t10Host_weight
UBA11524 sp000437595,-0.00048186526079813,0.997240828565779,1,corr_t4speciesAbundance_with_t10Host_weight
UBA11774 sp003507655,-0.331242636508071,0.319709383489443,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1191 sp002310095,-0.21598843088567,0.140364934913806,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1191 sp900066305,0.0382319805354295,0.777672442419012,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1206 sp000433115,-0.334877358159448,0.0757793174412752,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1232 sp002315995,0.297823200956659,0.202194764190566,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1417 sp002305575,-0.375003953945637,0.152373933384437,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1417 sp003531055,0.209170521024427,0.118395148956977,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1448 sp002329405,-0.0524948150278138,0.723074847429995,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1685 sp002320595,-0.128253942466882,0.523777065148447,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1691 sp002320555,-0.175527061128806,0.605689829839517,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1712 sp002317245,0.112976665709507,0.449590217430378,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1777 sp002320035,-0.210270913590974,0.12334686871203,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1777 sp002431965,0.0957779666657669,0.744646747009848,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1777 sp003150355,-0.0383766594856433,0.776852743387865,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1777 sp900319635,-0.471149011021617,0.122079576933237,1,corr_t4speciesAbundance_with_t10Host_weight
UBA1777 sp900319835,0.207833047129386,0.186588301308753,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2727 sp900100095,-0.350330125601155,0.290862220804334,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2834 sp002351365,-0.0681031591090553,0.645566622466849,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2856 sp900319065,-0.294149778981328,0.0816186747722336,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2862 sp002350605,-0.351630649172132,0.288950985181694,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2862 sp900315585,-0.0473452257847191,0.749309357164682,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2862 sp900317565,-0.0112997845111784,0.934125672099072,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2882 sp900317505,-0.0470868517676664,0.878595216923708,1,corr_t4speciesAbundance_with_t10Host_weight
UBA2931 sp900313155,0.0114644729083209,0.956625027891383,1,corr_t4speciesAbundance_with_t10Host_weight
UBA328 sp002506905,-0.102831749426704,0.763516405039242,1,corr_t4speciesAbundance_with_t10Host_weight
UBA3388 sp002358835,-0.196059330122374,0.358529121929261,1,corr_t4speciesAbundance_with_t10Host_weight
UBA3789 sp900314225,0.14880802969899,0.282859720941973,1,corr_t4speciesAbundance_with_t10Host_weight
UBA3818 sp002369315,-0.0498142884162157,0.769682474766927,1,corr_t4speciesAbundance_with_t10Host_weight
UBA4248 sp002395385,-0.30157527670344,0.294713285316869,1,corr_t4speciesAbundance_with_t10Host_weight
UBA4372 sp002316015,-0.00718913990229882,0.972195331214397,1,corr_t4speciesAbundance_with_t10Host_weight
UBA4644 sp002405755,-0.109291259178693,0.525747903369163,1,corr_t4speciesAbundance_with_t10Host_weight
UBA5578 sp002425325,-0.049867769505262,0.865564225169145,1,corr_t4speciesAbundance_with_t10Host_weight
UBA5920 sp002406055,0.115255647857731,0.406592114564458,1,corr_t4speciesAbundance_with_t10Host_weight
UBA629 sp900316625,-0.250570199141321,0.134699115993783,1,corr_t4speciesAbundance_with_t10Host_weight
UBA636 sp002299675,0.362528358600377,0.00558242047407324,1,corr_t4speciesAbundance_with_t10Host_weight
UBA6398 sp003150315,-0.0581462991690034,0.743937965053384,1,corr_t4speciesAbundance_with_t10Host_weight
UBA6414 sp002438545,0.385114857909481,0.173902161520809,1,corr_t4speciesAbundance_with_t10Host_weight
UBA644 sp002299265,0.162620467917734,0.280231418948474,1,corr_t4speciesAbundance_with_t10Host_weight
UBA6857 sp002438505,-0.0513060653784903,0.820619232756647,1,corr_t4speciesAbundance_with_t10Host_weight
UBA6857 sp002451715,-0.380199068864508,0.089105652081506,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7096 sp002492425,-0.453399409425729,0.015386288441806,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7102 sp002492415,-0.220772696045364,0.165410626258983,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7160 sp002491565,-0.310469916246139,0.209871912513021,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7173 sp001701135,-0.0226160556282336,0.885538667869204,1,corr_t4speciesAbundance_with_t10Host_weight
UBA737 sp002297415,0.0932988324725191,0.784972378528986,1,corr_t4speciesAbundance_with_t10Host_weight
UBA737 sp002431945,0.0175139120221584,0.918054838723268,1,corr_t4speciesAbundance_with_t10Host_weight
UBA738 sp002315975,0.353739072310525,0.106299752578781,1,corr_t4speciesAbundance_with_t10Host_weight
UBA738 sp003522945,-0.193260150980791,0.149761169861487,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7642 sp002404995,-0.175289182359166,0.486607291786652,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7642 sp900313465,0.143688891712256,0.534347434506938,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7642 sp900316035,0.182235282661982,0.362945878436941,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7702 sp002482535,-0.184048263581997,0.412266486666232,1,corr_t4speciesAbundance_with_t10Host_weight
UBA7748 sp900314535,0.246989054474728,0.0745915565696006,1,corr_t4speciesAbundance_with_t10Host_weight
Zag1 sp001765415,-0.122546399595279,0.676418195288962,1,corr_t4speciesAbundance_with_t10Host_weight
Zag111 sp002102825,0.0252442673157891,0.90465901244796,1,corr_t4speciesAbundance_with_t10Host_weight
Zag111 sp002103105,-0.151653179777482,0.589519441496365,1,corr_t4speciesAbundance_with_t10Host_weight
Zag111 sp003258735,0.299715850658365,0.297847678893825,1,corr_t4speciesAbundance_with_t10Host_weight
