component,estimate,p.value,method,alternative,date
Axis.5,-0.263990762913229,0.00677178012031265,Spearman's rank correlation rho,two.sided,t0
Axis.9,-0.231899861116054,0.0178493962750881,Spearman's rank correlation rho,two.sided,t0
Axis.38,-0.209383394347007,0.0329084662227368,Spearman's rank correlation rho,two.sided,t0
Axis.35,0.206901726404934,0.0350872728954291,Spearman's rank correlation rho,two.sided,t0
Axis.23,-0.201436720012067,0.0403156033122589,Spearman's rank correlation rho,two.sided,t0
Axis.85,-0.198037101777442,0.0438851503939883,Spearman's rank correlation rho,two.sided,t0
Axis.26,0.183131083364086,0.0627759203417522,Spearman's rank correlation rho,two.sided,t0
Axis.15,0.171187055720302,0.0822949220162579,Spearman's rank correlation rho,two.sided,t0
Axis.76,0.165433855630936,0.0932894071551022,Spearman's rank correlation rho,two.sided,t0
Axis.80,0.152561203853989,0.122083703571773,Spearman's rank correlation rho,two.sided,t0
Axis.58,0.145852695029933,0.139582698834724,Spearman's rank correlation rho,two.sided,t0
Axis.73,-0.14062251313051,0.154496577010186,Spearman's rank correlation rho,two.sided,t0
Axis.16,-0.139875344287735,0.156720989847309,Spearman's rank correlation rho,two.sided,t0
Axis.29,0.137761923846744,0.163142374553596,Spearman's rank correlation rho,two.sided,t0
Axis.78,-0.133914004306454,0.175332350910595,Spearman's rank correlation rho,two.sided,t0
Axis.2,0.131998049916767,0.181645919974299,Spearman's rank correlation rho,two.sided,t0
Axis.56,0.127418972294619,0.197405211697671,Spearman's rank correlation rho,two.sided,t0
Axis.53,-0.125865928485709,0.202967731314242,Spearman's rank correlation rho,two.sided,t0
Axis.30,0.125817896202959,0.203141542836655,Spearman's rank correlation rho,two.sided,t0
Axis.3,-0.123960647936633,0.209944352594484,Spearman's rank correlation rho,two.sided,t0
Axis.54,0.123208142173553,0.21274640413224,Spearman's rank correlation rho,two.sided,t0
Axis.65,-0.120496986658342,0.223062080515497,Spearman's rank correlation rho,two.sided,t0
Axis.81,0.118559684587433,0.230646103874525,Spearman's rank correlation rho,two.sided,t0
Axis.12,-0.113409556492593,0.251679607266461,Spearman's rank correlation rho,two.sided,t0
Axis.55,-0.108979912639,0.27079540208717,Spearman's rank correlation rho,two.sided,t0
Axis.67,0.106535603139065,0.281752930447981,Spearman's rank correlation rho,two.sided,t0
Axis.34,-0.10583646657904,0.284940819505782,Spearman's rank correlation rho,two.sided,t0
Axis.61,-0.102986551135885,0.298183633120495,Spearman's rank correlation rho,two.sided,t0
Axis.8,0.100990542941616,0.307695944978676,Spearman's rank correlation rho,two.sided,t0
Axis.11,-0.0974895232211856,0.324853300436016,Spearman's rank correlation rho,two.sided,t0
Axis.72,-0.0974414909384358,0.325092876458102,Spearman's rank correlation rho,two.sided,t0
Axis.21,-0.0945275324516143,0.33983880421963,Spearman's rank correlation rho,two.sided,t0
Axis.18,-0.0912773479855443,0.356776355005037,Spearman's rank correlation rho,two.sided,t0
Axis.14,0.0843340146680448,0.394677910929636,Spearman's rank correlation rho,two.sided,t0
Axis.88,0.0840938532542958,0.396030387351364,Spearman's rank correlation rho,two.sided,t0
Axis.7,0.0826742324530238,0.404081192638131,Spearman's rank correlation rho,two.sided,t0
Axis.44,0.0814787623045843,0.41093506924212,Spearman's rank correlation rho,two.sided,t0
Axis.59,-0.0810304609989194,0.413522703189328,Spearman's rank correlation rho,two.sided,t0
Axis.77,0.0787035637457067,0.427105619963057,Spearman's rank correlation rho,two.sided,t0
Axis.89,-0.0758589852228572,0.444053283885631,Spearman's rank correlation rho,two.sided,t0
Axis.37,0.0719363487982899,0.46803248442664,Spearman's rank correlation rho,two.sided,t0
Axis.45,0.0716908504642353,0.469556352679721,Spearman's rank correlation rho,two.sided,t0
Axis.33,0.0712425491585705,0.472346027758691,Spearman's rank correlation rho,two.sided,t0
Axis.46,0.0688462719413858,0.487408906226847,Spearman's rank correlation rho,two.sided,t0
Axis.79,-0.0682431999468605,0.491239623080136,Spearman's rank correlation rho,two.sided,t0
Axis.86,0.067938995489445,0.493177958754577,Spearman's rank correlation rho,two.sided,t0
Axis.42,0.0663165717165628,0.503583547498169,Spearman's rank correlation rho,two.sided,t0
Axis.69,-0.0604779809023088,0.541953769908519,Spearman's rank correlation rho,two.sided,t0
Axis.17,0.0595707044503681,0.548042639332998,Spearman's rank correlation rho,two.sided,t0
Axis.49,0.0593785753193689,0.549336306896559,Spearman's rank correlation rho,two.sided,t0
Axis.64,-0.0577454777058755,0.560391994937379,Spearman's rank correlation rho,two.sided,t0
Axis.51,-0.0565446706371304,0.568588343473218,Spearman's rank correlation rho,two.sided,t0
Axis.87,-0.0562031077375763,0.570930018617459,Spearman's rank correlation rho,two.sided,t0
Axis.36,-0.0553545374089964,0.576767114280282,Spearman's rank correlation rho,two.sided,t0
Axis.28,0.0541964257026956,0.584777891815259,Spearman's rank correlation rho,two.sided,t0
Axis.4,0.0538655366437525,0.587076010513404,Spearman's rank correlation rho,two.sided,t0
Axis.60,0.0524779373643137,0.596757846296012,Spearman's rank correlation rho,two.sided,t0
Axis.41,-0.0520136252977322,0.600013448815422,Spearman's rank correlation rho,two.sided,t0
Axis.22,-0.0514532486656512,0.603953131430994,Spearman's rank correlation rho,two.sided,t0
Axis.74,0.0512824672158741,0.605156068591773,Spearman's rank correlation rho,two.sided,t0
Axis.6,-0.0471570278196965,0.634529375766868,Spearman's rank correlation rho,two.sided,t0
Axis.47,-0.0463298051723388,0.64049010958925,Spearman's rank correlation rho,two.sided,t0
Axis.71,0.0449422058929,0.650540103197313,Spearman's rank correlation rho,two.sided,t0
Axis.31,0.0442217216516529,0.655783314570571,Spearman's rank correlation rho,two.sided,t0
Axis.75,-0.0441096463252367,0.656600437579496,Spearman's rank correlation rho,two.sided,t0
Axis.43,-0.0436346604180442,0.66006796636737,Spearman's rank correlation rho,two.sided,t0
Axis.20,-0.0435706173743778,0.660536051192512,Spearman's rank correlation rho,two.sided,t0
Axis.63,0.0386659876135923,0.696760443154622,Spearman's rank correlation rho,two.sided,t0
Axis.19,0.0380308940972337,0.7015034694264,Spearman's rank correlation rho,two.sided,t0
Axis.68,-0.036883456231544,0.71010181347267,Spearman's rank correlation rho,two.sided,t0
Axis.48,0.0364725133680179,0.713190152441378,Spearman's rank correlation rho,two.sided,t0
Axis.91,-0.0344124621300818,0.728740942837953,Spearman's rank correlation rho,two.sided,t0
Axis.27,-0.0343270714051933,0.72938796633872,Spearman's rank correlation rho,two.sided,t0
Axis.57,-0.0271168920724171,0.784663308458785,Spearman's rank correlation rho,two.sided,t0
Axis.1,-0.0265511785200306,0.789049929391489,Spearman's rank correlation rho,two.sided,t0
Axis.82,-0.0264337662733088,0.789961191346116,Spearman's rank correlation rho,two.sided,t0
Axis.24,-0.025115546957842,0.800211332509912,Spearman's rank correlation rho,two.sided,t0
Axis.83,-0.024565844166372,0.804495828282737,Spearman's rank correlation rho,two.sided,t0
Axis.40,-0.0237492953596253,0.810870833904261,Spearman's rank correlation rho,two.sided,t0
Axis.13,0.0223670330004921,0.821690518187946,Spearman's rank correlation rho,two.sided,t0
Axis.70,-0.0213583550627462,0.829607230347671,Spearman's rank correlation rho,two.sided,t0
Axis.10,0.0200454726675849,0.839936991865947,Spearman's rank correlation rho,two.sided,t0
Axis.25,0.0194317268324485,0.844775390498558,Spearman's rank correlation rho,two.sided,t0
Axis.90,0.0112342172431486,0.909883202964289,Spearman's rank correlation rho,two.sided,t0
Axis.66,0.00925955673010111,0.925673163242287,Spearman's rank correlation rho,two.sided,t0
Axis.32,-0.0067458672661947,0.945814358971119,Spearman's rank correlation rho,two.sided,t0
Axis.50,0.00585993849547609,0.952921753753273,Spearman's rank correlation rho,two.sided,t0
Axis.84,-0.00572651548783775,0.953992477959207,Spearman's rank correlation rho,two.sided,t0
Axis.62,-0.00378387649662345,0.969590516461371,Spearman's rank correlation rho,two.sided,t0
Axis.39,-0.00116344862660636,0.990647814105849,Spearman's rank correlation rho,two.sided,t0
Axis.52,-0.000458975146275905,0.996310535284557,Spearman's rank correlation rho,two.sided,t0
Axis.18,0.279541391672402,0.0042410401341497,Spearman's rank correlation rho,two.sided,t2
Axis.4,0.26561404299825,0.00669431123931172,Spearman's rank correlation rho,two.sided,t2
Axis.67,0.230831382463316,0.0189828912999475,Spearman's rank correlation rho,two.sided,t2
Axis.30,0.220480642856963,0.0252248627311129,Spearman's rank correlation rho,two.sided,t2
Axis.71,0.194763120512306,0.0486748858263872,Spearman's rank correlation rho,two.sided,t2
Axis.39,0.187917567672861,0.0573215536381374,Spearman's rank correlation rho,two.sided,t2
Axis.89,0.178412907630934,0.0713739158860599,Spearman's rank correlation rho,two.sided,t2
Axis.49,0.178055796126469,0.0719517769990068,Spearman's rank correlation rho,two.sided,t2
Axis.79,0.166534829590099,0.0927086674558921,Spearman's rank correlation rho,two.sided,t2
Axis.24,-0.163590033184046,0.0987102657794594,Spearman's rank correlation rho,two.sided,t2
Axis.17,0.161897874055194,0.102294724176287,Spearman's rank correlation rho,two.sided,t2
Axis.23,-0.154228217743906,0.119835348259575,Spearman's rank correlation rho,two.sided,t2
Axis.52,-0.153739249683945,0.121027791418125,Spearman's rank correlation rho,two.sided,t2
Axis.98,0.15369529749878,0.12113542366235,Spearman's rank correlation rho,two.sided,t2
Axis.7,0.14994287969032,0.130599367327417,Spearman's rank correlation rho,two.sided,t2
Axis.101,-0.148822098968613,0.133532924382906,Spearman's rank correlation rho,two.sided,t2
Axis.91,-0.148316648839216,0.134872219785868,Spearman's rank correlation rho,two.sided,t2
Axis.58,-0.144926836558367,0.144119875764246,Spearman's rank correlation rho,two.sided,t2
Axis.96,0.144498302753009,0.145322234370432,Spearman's rank correlation rho,two.sided,t2
Axis.62,-0.143344557892428,0.148596955259258,Spearman's rank correlation rho,two.sided,t2
Axis.97,-0.138081283718922,0.164243020301066,Spearman's rank correlation rho,two.sided,t2
Axis.36,0.129340292894237,0.192876212824029,Spearman's rank correlation rho,two.sided,t2
Axis.43,-0.128312910566006,0.196465310033005,Spearman's rank correlation rho,two.sided,t2
Axis.86,-0.126692173738047,0.20222481708496,Spearman's rank correlation rho,two.sided,t2
Axis.76,-0.12596146865968,0.204860743119905,Spearman's rank correlation rho,two.sided,t2
Axis.53,-0.12278592328151,0.216601951606261,Spearman's rank correlation rho,two.sided,t2
Axis.48,0.118973071218448,0.231320004268444,Spearman's rank correlation rho,two.sided,t2
Axis.21,-0.116780955983345,0.240091810632031,Spearman's rank correlation rho,two.sided,t2
Axis.20,-0.109885956935589,0.269176798393206,Spearman's rank correlation rho,two.sided,t2
Axis.1,-0.105562160719984,0.288584266611139,Spearman's rank correlation rho,two.sided,t2
Axis.99,-0.102985463864688,0.30058108576146,Spearman's rank correlation rho,two.sided,t2
Axis.95,-0.102551436036183,0.302633629352126,Spearman's rank correlation rho,two.sided,t2
Axis.78,-0.101606464055136,0.307134145508644,Spearman's rank correlation rho,two.sided,t2
Axis.2,0.101265834620108,0.308767074372188,Spearman's rank correlation rho,two.sided,t2
Axis.3,0.100699950236109,0.311492319472497,Spearman's rank correlation rho,two.sided,t2
Axis.57,-0.100392284939954,0.31298054262244,Spearman's rank correlation rho,two.sided,t2
Axis.69,0.0997110260698968,0.316292278323271,Spearman's rank correlation rho,two.sided,t2
Axis.90,0.0904481030463778,0.363556383636673,Spearman's rank correlation rho,two.sided,t2
Axis.10,0.0870253266266552,0.382068375340761,Spearman's rank correlation rho,two.sided,t2
Axis.28,-0.0865638286824229,0.384607211645338,Spearman's rank correlation rho,two.sided,t2
Axis.14,-0.0829652435220404,0.404750592538928,Spearman's rank correlation rho,two.sided,t2
Axis.42,0.0820642237261584,0.409889714278444,Spearman's rank correlation rho,two.sided,t2
Axis.88,0.0811302397914026,0.415256976556018,Spearman's rank correlation rho,two.sided,t2
Axis.83,0.080427004828763,0.419325066659715,Spearman's rank correlation rho,two.sided,t2
Axis.31,-0.0787238576536201,0.429272593501397,Spearman's rank correlation rho,two.sided,t2
Axis.8,0.0782733477556791,0.431926291038063,Spearman's rank correlation rho,two.sided,t2
Axis.46,0.0782403836168054,0.432120830907521,Spearman's rank correlation rho,two.sided,t2
Axis.70,0.073751766706832,0.459073723351858,Spearman's rank correlation rho,two.sided,t2
Axis.50,-0.0734221253180947,0.461089028842013,Spearman's rank correlation rho,two.sided,t2
Axis.85,0.0731034719756486,0.463041778131385,Spearman's rank correlation rho,two.sided,t2
Axis.73,-0.0670600465154642,0.500923542670216,Spearman's rank correlation rho,two.sided,t2
Axis.44,0.0662414370667665,0.506176331649942,Spearman's rank correlation rho,two.sided,t2
Axis.25,0.0649997878358559,0.514197788554702,Spearman's rank correlation rho,two.sided,t2
Axis.64,-0.0645877360999343,0.516874093274618,Spearman's rank correlation rho,two.sided,t2
Axis.77,0.0637856087206734,0.522104277518521,Spearman's rank correlation rho,two.sided,t2
Axis.61,0.0611374895644835,0.539559276540963,Spearman's rank correlation rho,two.sided,t2
Axis.45,0.0608298242683287,0.541605747190548,Spearman's rank correlation rho,two.sided,t2
Axis.13,-0.0598463941252623,0.548172631985491,Spearman's rank correlation rho,two.sided,t2
Axis.37,0.0575718685429747,0.563507689199513,Spearman's rank correlation rho,two.sided,t2
Axis.56,0.0573905657791692,0.564738758849444,Spearman's rank correlation rho,two.sided,t2
Axis.80,-0.0571378407144706,0.566456918694514,Spearman's rank correlation rho,two.sided,t2
Axis.5,-0.0509735467450825,0.609110155767838,Spearman's rank correlation rho,two.sided,t2
Axis.74,-0.0478474475752235,0.63126490562205,Spearman's rank correlation rho,two.sided,t2
Axis.29,0.0469848859413608,0.637436929666709,Spearman's rank correlation rho,two.sided,t2
Axis.72,-0.0455948980855184,0.647435101484202,Spearman's rank correlation rho,two.sided,t2
Axis.55,-0.0412711018699138,0.678932284801931,Spearman's rank correlation rho,two.sided,t2
Axis.19,-0.0408370740414096,0.682125878543731,Spearman's rank correlation rho,two.sided,t2
Axis.41,0.0403151418425755,0.685973711749877,Spearman's rank correlation rho,two.sided,t2
Axis.16,-0.0401228510324787,0.687393365102846,Spearman's rank correlation rho,two.sided,t2
Axis.60,-0.0387438512229276,0.697605876926313,Spearman's rank correlation rho,two.sided,t2
Axis.12,0.0380570983297248,0.702712124952965,Spearman's rank correlation rho,two.sided,t2
Axis.75,-0.0378812895890649,0.704021462564317,Spearman's rank correlation rho,two.sided,t2
Axis.27,0.0363979033397469,0.71510308797706,Spearman's rank correlation rho,two.sided,t2
Axis.59,0.0363704332240188,0.715308870627302,Spearman's rank correlation rho,two.sided,t2
Axis.11,0.0347881545580796,0.727195920625292,Spearman's rank correlation rho,two.sided,t2
Axis.51,-0.0340080032714012,0.733080996286877,Spearman's rank correlation rho,two.sided,t2
Axis.32,0.0335190352114409,0.736777449429537,Spearman's rank correlation rho,two.sided,t2
Axis.84,-0.0323872664434427,0.745356205291883,Spearman's rank correlation rho,two.sided,t2
Axis.38,0.0320576250547054,0.747860786458494,Spearman's rank correlation rho,two.sided,t2
Axis.93,-0.0318488521751717,0.749448380091102,Spearman's rank correlation rho,two.sided,t2
Axis.9,0.0313543900920657,0.753212633286028,Spearman's rank correlation rho,two.sided,t2
Axis.66,-0.0302391033935044,0.761724238044731,Spearman's rank correlation rho,two.sided,t2
Axis.33,0.0302061392546307,0.761976250790332,Spearman's rank correlation rho,two.sided,t2
Axis.40,-0.028398605639721,0.775832331996429,Spearman's rank correlation rho,two.sided,t2
Axis.68,0.0266350242099763,0.789419612302124,Spearman's rank correlation rho,two.sided,t2
Axis.65,-0.0237341799890878,0.811904802323318,Spearman's rank correlation rho,two.sided,t2
Axis.47,0.0237231919427965,0.811990277228685,Spearman's rank correlation rho,two.sided,t2
Axis.92,0.02300347491072,0.81759364495784,Spearman's rank correlation rho,two.sided,t2
Axis.103,-0.0213058217587228,0.830846688099338,Spearman's rank correlation rho,two.sided,t2
Axis.63,0.0163666949508085,0.869662167222059,Spearman's rank correlation rho,two.sided,t2
Axis.82,0.0153173365299946,0.877952114985625,Spearman's rank correlation rho,two.sided,t2
Axis.15,-0.015020659280131,0.88029830261524,Spearman's rank correlation rho,two.sided,t2
Axis.6,-0.0142514960397439,0.886385784336348,Spearman's rank correlation rho,two.sided,t2
Axis.26,-0.0118066557399421,0.905777492736262,Spearman's rank correlation rho,two.sided,t2
Axis.22,-0.0117736916010683,0.906039358646586,Spearman's rank correlation rho,two.sided,t2
Axis.35,-0.0113506518188554,0.909400854677539,Spearman's rank correlation rho,two.sided,t2
Axis.100,-0.0113396637725642,0.909488187817005,Spearman's rank correlation rho,two.sided,t2
Axis.54,0.0109715642218075,0.912414464158994,Spearman's rank correlation rho,two.sided,t2
Axis.87,-0.00919699474577152,0.9265374636226,Spearman's rank correlation rho,two.sided,t2
Axis.94,-0.0068400588162996,0.945329826800037,Spearman's rank correlation rho,two.sided,t2
Axis.34,-0.00619176408511619,0.950504522041858,Spearman's rank correlation rho,two.sided,t2
Axis.81,0.00544457693731157,0.956471115486942,Spearman's rank correlation rho,two.sided,t2
Axis.102,0.00516438175688484,0.958709225362498,Spearman's rank correlation rho,two.sided,t2
Axis.5,-0.262814849593452,0.00675671786274434,Spearman's rank correlation rho,two.sided,t4
Axis.4,0.221921477116163,0.0228911170272626,Spearman's rank correlation rho,two.sided,t4
Axis.80,-0.207049274191376,0.0340694542910442,Spearman's rank correlation rho,two.sided,t4
Axis.19,0.192892679357113,0.0486715612614513,Spearman's rank correlation rho,two.sided,t4
Axis.7,-0.181754083861144,0.0635079452524408,Spearman's rank correlation rho,two.sided,t4
Axis.59,-0.170444364691353,0.0821452096947159,Spearman's rank correlation rho,two.sided,t4
Axis.26,-0.169495406136529,0.0838894889809313,Spearman's rank correlation rho,two.sided,t4
Axis.23,0.168442736264238,0.0858588315067568,Spearman's rank correlation rho,two.sided,t4
Axis.14,0.167581932329261,0.0874964375670503,Spearman's rank correlation rho,two.sided,t4
Axis.81,-0.165704757483105,0.0911537049831169,Spearman's rank correlation rho,two.sided,t4
Axis.53,-0.162526005602738,0.0976219055271337,Spearman's rank correlation rho,two.sided,t4
Axis.21,0.152694172706854,0.119933227348032,Spearman's rank correlation rho,two.sided,t4
Axis.31,0.148804998301837,0.129774173501378,Spearman's rank correlation rho,two.sided,t4
Axis.61,-0.146388524604853,0.136192728218586,Spearman's rank correlation rho,two.sided,t4
Axis.45,-0.143863154024528,0.143155643173114,Spearman's rank correlation rho,two.sided,t4
Axis.28,0.140373268191759,0.153216476400001,Spearman's rank correlation rho,two.sided,t4
Axis.78,0.133740929439736,0.173782176070297,Spearman's rank correlation rho,two.sided,t4
Axis.62,-0.131122218673691,0.18243873200506,Spearman's rank correlation rho,two.sided,t4
Axis.25,-0.12779827094887,0.19387490090134,Spearman's rank correlation rho,two.sided,t4
Axis.77,-0.126527807309897,0.198380183347461,Spearman's rank correlation rho,two.sided,t4
Axis.46,0.119485808853879,0.224723368184167,Spearman's rank correlation rho,two.sided,t4
Axis.40,0.113895768842401,0.247320234593525,Spearman's rank correlation rho,two.sided,t4
Axis.63,-0.113454995743166,0.249166384949433,Spearman's rank correlation rho,two.sided,t4
Axis.32,-0.11295199585345,0.251284739078898,Spearman's rank correlation rho,two.sided,t4
Axis.35,0.110509594327099,0.261746592437129,Spearman's rank correlation rho,two.sided,t4
Axis.42,-0.105256616097389,0.285240846935593,Spearman's rank correlation rho,two.sided,t4
Axis.9,-0.102238616759096,0.299355824338007,Spearman's rank correlation rho,two.sided,t4
Axis.27,-0.097644205395302,0.321710647841458,Spearman's rank correlation rho,two.sided,t4
Axis.36,0.0972812157841671,0.323521456575558,Spearman's rank correlation rho,two.sided,t4
Axis.16,-0.0956166491388197,0.331908938203756,Spearman's rank correlation rho,two.sided,t4
Axis.89,0.095098092551484,0.334549895211472,Spearman's rank correlation rho,two.sided,t4
Axis.2,0.0920126808568369,0.350538455181268,Spearman's rank correlation rho,two.sided,t4
Axis.56,-0.0875530942057504,0.37447621589271,Spearman's rank correlation rho,two.sided,t4
Axis.10,-0.0855099812516479,0.385767873022884,Spearman's rank correlation rho,two.sided,t4
Axis.58,-0.0794584258774409,0.420395548227831,Spearman's rank correlation rho,two.sided,t4
Axis.52,-0.0783279725170493,0.427057826592219,Spearman's rank correlation rho,two.sided,t4
Axis.24,-0.0781983333702153,0.427825704660676,Spearman's rank correlation rho,two.sided,t4
Axis.67,0.0766478491740818,0.437070718051857,Spearman's rank correlation rho,two.sided,t4
Axis.66,0.076170777113733,0.439937974007927,Spearman's rank correlation rho,two.sided,t4
Axis.8,0.0761655915478596,0.439969198143699,Spearman's rank correlation rho,two.sided,t4
